사용월,호선명,역ID,지하철역,승차승객수,하차승객수
2020-12,1호선,1,서울역,842346,797546
2020-12,1호선,10,동묘앞,208719,214534
2020-12,1호선,2,시청,429145,423621
2020-12,1호선,3,종각,667792,642037
2020-12,1호선,4,종로3가,493106,450421
2020-12,1호선,5,종로5가,465339,462277
2020-12,1호선,6,동대문,257941,246412
2020-12,1호선,7,신설동,309534,304279
2020-12,1호선,8,제기동,386051,395737
2020-12,1호선,9,청량리(서울시립대입구),464654,464949
2020-12,2호선,11,시청,463728,445131
2020-12,2호선,12,을지로입구,810382,813339
2020-12,2호선,13,을지로3가,412714,405805
2020-12,2호선,14,을지로4가,284176,278093
2020-12,2호선,15,동대문역사문화공원(DDP),251261,277576
2020-12,2호선,16,신당,307401,316909
2020-12,2호선,17,상왕십리,297608,290623
2020-12,2호선,18,왕십리(성동구청),326649,263814
2020-12,2호선,19,한양대,156177,160093
2020-12,2호선,20,뚝섬,413585,444755
2020-12,2호선,21,성수,687363,749676
2020-12,2호선,22,건대입구,691472,739873
2020-12,2호선,23,구의(광진구청),513266,509643
2020-12,2호선,24,강변(동서울터미널),635066,639974
2020-12,2호선,25,잠실나루,290834,282647
2020-12,2호선,26,잠실(송파구청),1340632,1328801
2020-12,2호선,27,잠실새내,419767,420816
2020-12,2호선,28,종합운동장,137793,148841
2020-12,2호선,29,삼성(무역센터),1015280,1018308
2020-12,2호선,30,선릉,1142441,1016897
2020-12,2호선,31,역삼,1003598,1078641
2020-12,2호선,32,강남,1607275,1560608
2020-12,2호선,33,교대(법원.검찰청),683119,757350
2020-12,2호선,34,서초,439405,431482
2020-12,2호선,35,방배,344615,357622
2020-12,2호선,36,사당,745970,810868
2020-12,2호선,37,낙성대(강감찬),597690,580917
2020-12,2호선,38,서울대입구(관악구청),1017581,990535
2020-12,2호선,39,봉천,537040,504123
2020-12,2호선,40,신림,1419139,1380788
2020-12,2호선,41,신대방,594547,581841
2020-12,2호선,42,구로디지털단지,1293506,1304647
2020-12,2호선,43,대림(구로구청),565816,580223
2020-12,2호선,44,신도림,1057418,1026968
2020-12,2호선,45,문래,437725,445873
2020-12,2호선,46,영등포구청,496930,502448
2020-12,2호선,47,당산,393709,454557
2020-12,2호선,48,합정,607379,630710
2020-12,2호선,49,홍대입구,958044,987861
2020-12,2호선,50,신촌,663994,679563
2020-12,2호선,51,이대,252745,259609
2020-12,2호선,52,아현,218012,212963
2020-12,2호선,53,충정로(경기대입구),213036,222253
2020-12,2호선,54,용답,58665,57964
2020-12,2호선,55,신답,33690,38933
2020-12,2호선,56,신설동,75652,74985
2020-12,2호선,57,도림천,30252,31663
2020-12,2호선,58,양천구청,140273,150876
2020-12,2호선,59,신정네거리,213162,222333
2020-12,2호선,60,용두(동대문구청),52417,54922
2020-12,3호선,61,지축,70286,69508
2020-12,3호선,62,구파발,441837,420666
2020-12,3호선,63,연신내,839605,790442
2020-12,3호선,64,불광,364371,393678
2020-12,3호선,65,녹번,324029,298651
2020-12,3호선,66,홍제,379242,367220
2020-12,3호선,67,무악재,83876,85997
2020-12,3호선,68,독립문,153243,158963
2020-12,3호선,69,경복궁(정부서울청사),363808,354975
2020-12,3호선,70,안국,355537,363529
2020-12,3호선,71,종로3가,197401,226266
2020-12,3호선,72,을지로3가,208799,215777
2020-12,3호선,73,충무로,15,0
2020-12,3호선,74,동대입구,162946,170754
2020-12,3호선,75,약수,277926,270120
2020-12,3호선,76,금호,175428,168320
2020-12,3호선,77,옥수,188612,198205
2020-12,3호선,78,압구정,675803,710938
2020-12,3호선,79,신사,625214,649228
2020-12,3호선,80,잠원,96833,96147
2020-12,3호선,81,고속터미널,870717,875427
2020-12,3호선,82,교대(법원.검찰청),276760,184901
2020-12,3호선,83,남부터미널(예술의전당),601843,621487
2020-12,3호선,84,양재(서초구청),791923,847929
2020-12,3호선,85,매봉,256519,243503
2020-12,3호선,86,도곡,110978,111575
2020-12,3호선,87,대치,213404,212016
2020-12,3호선,88,학여울,35737,36080
2020-12,3호선,89,대청,205485,189152
2020-12,3호선,90,일원,197627,194225
2020-12,3호선,91,수서,338526,346521
2020-12,3호선,92,가락시장,194502,191136
2020-12,3호선,93,경찰병원,159978,160663
2020-12,3호선,94,오금,131286,118568
2020-12,4호선,100,수유(강북구청),772432,766104
2020-12,4호선,101,미아(서울사이버대학),339422,331873
2020-12,4호선,102,미아사거리,625839,615234
2020-12,4호선,103,길음,431412,423683
2020-12,4호선,104,성신여대입구(돈암),420739,404881
2020-12,4호선,105,한성대입구(삼선교),288982,284214
2020-12,4호선,106,혜화,610778,602260
2020-12,4호선,107,동대문,431243,443200
2020-12,4호선,108,동대문역사문화공원(DDP),320745,299148
2020-12,4호선,109,충무로,556307,570763
2020-12,4호선,110,명동,367554,381519
2020-12,4호선,111,회현(남대문시장),486208,504895
2020-12,4호선,112,서울역,217449,296569
2020-12,4호선,113,숙대입구(갈월),264962,259001
2020-12,4호선,114,삼각지,94184,103199
2020-12,4호선,115,신용산,301651,316003
2020-12,4호선,116,이촌(국립중앙박물관),140531,156416
2020-12,4호선,117,동작(현충원),51608,54328
2020-12,4호선,118,총신대입구(이수),404847,439646
2020-12,4호선,119,사당,499677,422301
2020-12,4호선,120,남태령,23614,20533
2020-12,4호선,95,당고개,279882,259694
2020-12,4호선,96,상계,425644,399339
2020-12,4호선,97,노원,406921,450432
2020-12,4호선,98,창동,567502,605830
2020-12,4호선,99,쌍문,666518,616468
2020-12,경부선,121,서울역,96764,31465
2020-12,경부선,122,남영,200091,208892
2020-12,경부선,123,용산,665800,675663
2020-12,경부선,124,노량진,182993,191599
2020-12,경부선,125,대방,274066,282977
2020-12,경부선,126,영등포,845435,866979
2020-12,경부선,127,신도림,88257,86954
2020-12,경부선,151,신길,207622,173430
2020-12,경부선,249,구로,425112,430712
2020-12,경부선,250,가산디지털단지,360982,433494
2020-12,경부선,251,금천구청,255812,256125
2020-12,경부선,252,석수,224152,199604
2020-12,경부선,253,관악,162916,150889
2020-12,경부선,254,안양,481273,485316
2020-12,경부선,255,명학,201334,199478
2020-12,경부선,256,금정,569694,585656
2020-12,경부선,257,군포,173618,174316
2020-12,경부선,258,의왕,192994,192051
2020-12,경부선,259,성균관대,297755,296366
2020-12,경부선,260,화서,154589,151395
2020-12,경부선,261,수원,728815,771674
2020-12,경부선,262,독산,366767,388306
2020-12,경부선,263,세류,66816,63672
2020-12,경부선,264,병점,287466,285787
2020-12,경부선,265,세마,55340,50578
2020-12,경부선,266,오산대,68167,62903
2020-12,경부선,267,오산,214822,215601
2020-12,경부선,268,진위,34260,30012
2020-12,경부선,269,송탄,97084,93344
2020-12,경부선,270,서정리,142167,135960
2020-12,경부선,271,지제,63463,59528
2020-12,경부선,272,평택,262506,259961
2020-12,경부선,273,성환,78868,78545
2020-12,경부선,274,직산,15994,16153
2020-12,경부선,275,두정,113639,114046
2020-12,경부선,276,천안,112760,115966
2020-12,경부선,277,당정,131742,126360
2020-12,경부선,278,서동탄,31836,27117
2020-12,경부선,279,광명,64585,57354
2020-12,경인선,293,개봉,477055,493324
2020-12,경인선,294,오류동,265132,252774
2020-12,경인선,295,역곡,598974,598932
2020-12,경인선,296,부천,743457,751839
2020-12,경인선,297,송내,594647,595844
2020-12,경인선,298,부평,654347,692036
2020-12,경인선,299,백운,157569,157201
2020-12,경인선,300,동암,348680,352844
2020-12,경인선,301,주안,416169,381202
2020-12,경인선,302,제물포,219924,210682
2020-12,경인선,303,동인천,302494,291545
2020-12,경인선,304,인천,72771,54773
2020-12,경인선,305,구일,131691,135619
2020-12,경인선,306,소사,216668,202352
2020-12,경인선,307,부개,186603,178025
2020-12,경인선,308,간석,124981,120055
2020-12,경인선,309,도원,64716,66518
2020-12,경인선,310,온수(성공회대입구),142501,140051
2020-12,경인선,311,중동,201725,192888
2020-12,경인선,312,도화,88285,81863
2020-12,경원선,128,이촌(국립중앙박물관),78939,61760
2020-12,경원선,129,서빙고,39726,36311
2020-12,경원선,130,한남,90464,84975
2020-12,경원선,131,옥수,1109,678
